"","lon","lat"
"396",-66.75,46.5
"397",-66.5,46.5
"398",-66.25,46.5
"399",-66,46.5
"400",-80,46.25
"401",-79.75,46.25
"402",-79.5,46.25
"403",-79.25,46.25
"404",-79,46.25
"405",-78.75,46.25
"406",-78.5,46.25
"407",-78.25,46.25
"408",-78,46.25
"409",-77.75,46.25
"410",-77.5,46.25
"411",-77.25,46.25
"412",-77,46.25
"413",-76.75,46.25
"414",-76.5,46.25
"415",-76.25,46.25
"416",-76,46.25
"417",-75.75,46.25
"418",-75.5,46.25
"419",-75.25,46.25
"420",-75,46.25
"421",-74.75,46.25
"422",-74.5,46.25
"423",-74.25,46.25
"424",-74,46.25
"425",-73.75,46.25
"426",-73.5,46.25
"427",-73.25,46.25
"428",-73,46.25
"429",-72.75,46.25
"430",-72.5,46.25
"431",-72.25,46.25
"432",-72,46.25
"433",-71.75,46.25
"434",-71.5,46.25
"435",-71.25,46.25
"436",-71,46.25
"437",-70.75,46.25
"438",-70.5,46.25
"439",-70.25,46.25
"440",-70,46.25
"441",-69.75,46.25
"442",-69.5,46.25
"443",-69.25,46.25
"444",-69,46.25
"445",-68.75,46.25
"446",-68.5,46.25
"447",-68.25,46.25
"448",-68,46.25
"449",-67.75,46.25
"450",-67.5,46.25
"451",-67.25,46.25
"452",-67,46.25
"453",-66.75,46.25
"454",-66.5,46.25
"455",-66.25,46.25
"456",-66,46.25
"457",-80,46
"458",-79.75,46
"459",-79.5,46
"460",-79.25,46
"461",-79,46
"462",-78.75,46
"463",-78.5,46
"464",-78.25,46
"465",-78,46
"466",-77.75,46
"467",-77.5,46
"468",-77.25,46
"469",-77,46
"470",-76.75,46
"471",-76.5,46
"472",-76.25,46
"473",-76,46
"474",-75.75,46
"475",-75.5,46
"476",-75.25,46
"477",-75,46
"478",-74.75,46
"479",-74.5,46
"480",-74.25,46
"481",-74,46
"482",-73.75,46
"483",-73.5,46
"484",-73.25,46
"485",-73,46
"486",-72.75,46
"487",-72.5,46
"488",-72.25,46
"489",-72,46
"490",-71.75,46
"491",-71.5,46
"492",-71.25,46
"493",-71,46
"494",-70.75,46
"495",-70.5,46
"496",-70.25,46
"497",-70,46
"498",-69.75,46
"499",-69.5,46
"500",-69.25,46
"501",-69,46
"502",-68.75,46
"503",-68.5,46
"504",-68.25,46
"505",-68,46
"506",-67.75,46
"507",-67.5,46
"508",-67.25,46
"509",-67,46
"510",-66.75,46
"511",-66.5,46
"512",-66.25,46
"513",-66,46
"514",-80,45.75
"515",-79.75,45.75
"516",-79.5,45.75
"517",-79.25,45.75
"518",-79,45.75
"519",-78.75,45.75
"520",-78.5,45.75
"521",-78.25,45.75
"522",-78,45.75
"523",-77.75,45.75
"524",-77.5,45.75
"525",-77.25,45.75
"526",-77,45.75
"527",-76.75,45.75
"528",-76.5,45.75
"529",-76.25,45.75
"530",-76,45.75
"531",-75.75,45.75
"532",-75.5,45.75
"533",-75.25,45.75
"534",-75,45.75
"535",-74.75,45.75
"536",-74.5,45.75
"537",-74.25,45.75
"538",-74,45.75
"539",-73.75,45.75
"540",-73.5,45.75
"541",-73.25,45.75
"542",-73,45.75
"543",-72.75,45.75
"544",-72.5,45.75
"545",-72.25,45.75
"546",-72,45.75
"547",-71.75,45.75
"548",-71.5,45.75
"549",-71.25,45.75
"550",-71,45.75
"551",-70.75,45.75
"552",-70.5,45.75
"553",-70.25,45.75
"554",-70,45.75
"555",-69.75,45.75
"556",-69.5,45.75
"557",-69.25,45.75
"558",-69,45.75
"559",-68.75,45.75
"560",-68.5,45.75
"561",-68.25,45.75
"562",-68,45.75
"563",-67.75,45.75
"564",-67.5,45.75
"565",-67.25,45.75
"566",-67,45.75
"567",-66.75,45.75
"568",-66.5,45.75
"569",-66.25,45.75
"570",-66,45.75
"571",-80,45.5
"572",-79.75,45.5
"573",-79.5,45.5
"574",-79.25,45.5
"575",-79,45.5
"576",-78.75,45.5
"577",-78.5,45.5
"578",-78.25,45.5
"579",-78,45.5
"580",-77.75,45.5
"581",-77.5,45.5
"582",-77.25,45.5
"583",-77,45.5
"584",-76.75,45.5
"585",-76.5,45.5
"586",-76.25,45.5
"587",-76,45.5
"588",-75.75,45.5
"589",-75.5,45.5
"590",-75.25,45.5
"591",-75,45.5
"592",-74.75,45.5
"593",-74.5,45.5
"594",-74.25,45.5
"595",-74,45.5
"596",-73.75,45.5
"597",-73.5,45.5
"598",-73.25,45.5
"599",-73,45.5
"600",-72.75,45.5
"601",-72.5,45.5
"602",-72.25,45.5
"603",-72,45.5
"604",-71.75,45.5
"605",-71.5,45.5
"606",-71.25,45.5
"607",-71,45.5
"608",-70.75,45.5
"609",-70.5,45.5
"610",-70.25,45.5
"611",-70,45.5
"612",-69.75,45.5
"613",-69.5,45.5
"614",-69.25,45.5
"615",-69,45.5
"616",-68.75,45.5
